Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Sound Type,Auditor,Length,Location,Date,File
1,Spectrogram 1,1,276.3256278,278.0891973,0,2503.4,U,HN,1.763569549,LBK,8/5/2018,2018-08-05T004500_0004e9e500057018_2.0.wav
1,Spectrogram 1,1,6.040310451,8.606868415,0,1728.8,U,HN,2.566557964,LBK,8/5/2018,2018-08-05T011500_0004e9e500057018_2.0.wav
1,Spectrogram 1,1,29.28602017,29.51442809,0,1853.1,O,HN,0.228407918,LBK,8/5/2018,2018-08-05T023000_0004e9e500057018_2.0.wav
1,Spectrogram 1,1,155.9244032,157.5768523,0,1344.5,O,HN,1.652449096,LBK,8/5/2018,2018-08-05T033000_0004e9e500057018_2.0.wav
1,Spectrogram 1,1,11.80737458,11.97913677,0,1133,O,HN,0.171762194,LBK,8/5/2018,2018-08-05T040000_0004e9e500057018_2.0.wav
2,Spectrogram 1,1,249.2866847,249.3653337,0,1699.5,O,HN,0.078649004,LBK,8/5/2018,2018-08-05T040000_0004e9e500057018_2.0.wav
4,Spectrogram 1,1,250.3004409,250.9847776,0,1481.6,O,HN,0.68433674,LBK,8/5/2018,2018-08-05T040000_0004e9e500057018_2.0.wav
1,Spectrogram 1,1,97.04592351,97.19955483,0,821.3,T,HN,0.153631319,LBK,8/5/2018,2018-08-05T041500_0004e9e500057018_2.0.wav
2,Spectrogram 1,1,99.41045132,99.53154895,0,515.1,,HN,0.121097628,LBK,8/5/2018,2018-08-05T041500_0004e9e500057018_2.0.wav
3,Spectrogram 1,1,101.3401233,104.4037125,0,577.7,T,HN,3.063589248,LBK,8/5/2018,2018-08-05T041500_0004e9e500057018_2.0.wav
4,Spectrogram 1,1,104.7735748,104.9651621,0,549.9,T,HN,0.191587292,LBK,8/5/2018,2018-08-05T041500_0004e9e500057018_2.0.wav
5,Spectrogram 1,1,105.5695859,106.001561,0,529,T,HN,0.431975121,LBK,8/5/2018,2018-08-05T041500_0004e9e500057018_2.0.wav
6,Spectrogram 1,1,106.9888292,107.5925099,0,577.7,T,HN,0.603680713,LBK,8/5/2018,2018-08-05T041500_0004e9e500057018_2.0.wav
7,Spectrogram 1,1,119.2508661,119.4189569,0,647.3,T,HN,0.168090738,LBK,8/5/2018,2018-08-05T041500_0004e9e500057018_2.0.wav
8,Spectrogram 1,1,176.1462489,177.521701,0,710,T,HN,1.375452164,LBK,8/5/2018,2018-08-05T041500_0004e9e500057018_2.0.wav
9,Spectrogram 1,1,178.3178962,179.1222013,0,556.8,T,HN,0.804305142,LBK,8/5/2018,2018-08-05T041500_0004e9e500057018_2.0.wav
10,Spectrogram 1,1,179.8394287,180.6238522,0,487.2,T,HN,0.784423442,LBK,8/5/2018,2018-08-05T041500_0004e9e500057018_2.0.wav
11,Spectrogram 1,1,181.8899964,182.0436277,0,515.1,T,HN,0.153631319,LBK,8/5/2018,2018-08-05T041500_0004e9e500057018_2.0.wav
12,Spectrogram 1,1,183.5423888,183.6978276,0,591.6,T,HN,0.155438746,LBK,8/5/2018,2018-08-05T041500_0004e9e500057018_2.0.wav
13,Spectrogram 1,1,184.9807618,185.1235486,0,529,T,HN,0.142786756,LBK,8/5/2018,2018-08-05T041500_0004e9e500057018_2.0.wav
14,Spectrogram 1,1,190.4265217,190.5819604,0,584.7,T,HN,0.155438747,LBK,8/5/2018,2018-08-05T041500_0004e9e500057018_2.0.wav
15,Spectrogram 1,1,191.337465,191.5127855,0,529,T,HN,0.175320446,LBK,8/5/2018,2018-08-05T041500_0004e9e500057018_2.0.wav
16,Spectrogram 1,1,199.825713,201.192128,0,556.8,T,HN,1.366415028,LBK,8/5/2018,2018-08-05T041500_0004e9e500057018_2.0.wav
1,Spectrogram 1,1,125.3170494,125.3783956,0,1441.7,,HN,0.061346117,LBK,8/5/2018,2018-08-05T043000_0004e9e500057018_2.0.wav
2,Spectrogram 1,1,171.6589415,173.6117928,0,652,T,HN,1.952851369,LBK,8/5/2018,2018-08-05T043000_0004e9e500057018_2.0.wav
3,Spectrogram 1,1,244.8990811,248.7945595,0,588.4,T,HN,3.895478386,LBK,8/5/2018,2018-08-05T043000_0004e9e500057018_2.0.wav
1,Spectrogram 1,1,6.529910495,6.632104458,0,840.4,T,HN,0.102193963,LBK,8/5/2018,2018-08-05T050000_0004e9e500057018_2.0.wav
2,Spectrogram 1,1,162.8858174,163.0416632,0,929.8,T,HN,0.155845794,LBK,8/5/2018,2018-08-05T050000_0004e9e500057018_2.0.wav
3,Spectrogram 1,1,239.1049116,240.2954713,0,804.6,T,HN,1.190559665,LBK,8/5/2018,2018-08-05T050000_0004e9e500057018_2.0.wav
4,Spectrogram 1,1,248.5178431,248.9368384,0,429.1,U,HN,0.418995248,LBK,8/5/2018,2018-08-05T050000_0004e9e500057018_2.0.wav
5,Spectrogram 1,1,271.8038588,272.0184661,0,500.7,U,HN,0.214607321,LBK,8/5/2018,2018-08-05T050000_0004e9e500057018_2.0.wav
6,Spectrogram 1,1,272.8283533,273.1911418,0,482.8,U,HN,0.362788568,LBK,8/5/2018,2018-08-05T050000_0004e9e500057018_2.0.wav
1,Spectrogram 1,1,126.4700851,126.8868406,0,903.7,T,HN,0.416755479,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
2,Spectrogram 1,1,133.363455,133.5015212,0,1016.6,T,HN,0.138066233,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
3,Spectrogram 1,1,135.1875793,135.2975209,22.6,994.1,T,HN,0.10994163,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
4,Spectrogram 1,1,139.1088297,139.3108155,0,1107,T,HN,0.201985785,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
6,Spectrogram 1,1,140.699713,141.0423218,0,1287.8,U,HN,0.342608799,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
7,Spectrogram 1,1,144.1258025,144.2868798,0,790.7,T,HN,0.161077271,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
8,Spectrogram 1,1,147.1453636,147.2527485,0,768.1,T,HN,0.107384848,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
9,Spectrogram 1,1,149.1814184,149.304144,0,858.5,T,HN,0.12272554,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
10,Spectrogram 1,1,154.8455485,154.9708308,0,1174.8,T,HN,0.125282322,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
11,Spectrogram 1,1,157.6594209,158.5057157,0,1107,T,HN,0.846294869,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
12,Spectrogram 1,1,160.246321,160.3562626,0,790.7,T,HN,0.109941629,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
13,Spectrogram 1,1,161.8783952,162.0011207,0,948.9,T,HN,0.12272554,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
14,Spectrogram 1,1,163.3204203,163.4405891,0,971.5,T,HN,0.120168757,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
15,Spectrogram 1,1,165.9908305,166.149351,0,994.1,T,HN,0.158520489,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
16,Spectrogram 1,1,173.5293747,173.7236901,0,948.9,T,HN,0.194315438,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
17,Spectrogram 1,1,179.8110908,179.9491571,0,926.3,T,,0.138066233,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
19,Spectrogram 1,1,182.6491204,182.8050841,0,1061.8,T,HN,0.155963707,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
20,Spectrogram 1,1,186.2107194,186.4075916,0,903.7,T,HN,0.196872221,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
21,Spectrogram 1,1,187.7675187,187.8570061,0,903.7,T,HN,0.089487373,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
22,Spectrogram 1,1,190.4751524,190.6311161,0,1084.4,T,HN,0.155963707,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
23,Spectrogram 1,1,194.9943985,195.1043401,0,1129.6,T,HN,0.109941629,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
24,Spectrogram 1,1,197.5000464,197.6355558,0,768.1,T,HN,0.13550945,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
25,Spectrogram 1,1,199.7267406,199.8545798,0,790.7,T,HN,0.127839104,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
26,Spectrogram 1,1,202.6119025,202.7525255,0,1016.6,T,HN,0.140623015,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
27,Spectrogram 1,1,210.0052735,210.1228855,0,1016.6,T,HN,0.117611976,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
28,Spectrogram 1,1,211.9722862,212.2254076,0,1242.6,T,HN,0.253121427,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
29,Spectrogram 1,1,214.4816371,214.612033,0,1084.4,T,HN,0.130395887,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
30,Spectrogram 1,1,217.8102684,217.9611186,0,1061.8,T,HN,0.150850143,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
31,Spectrogram 1,1,225.2533645,225.3914307,0,1039.2,T,HN,0.138066232,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
32,Spectrogram 1,1,231.9756944,232.1265445,0,1061.8,T,HN,0.150850143,LBK,8/5/2018,2018-08-05T051500_0004e9e500057018_2.0.wav
1,Spectrogram 1,1,76.07866366,77.10560087,0,1434.4,P,HN,1.026937209,LBK,8/5/2018,2018-08-05T053000_0004e9e500057018_2.0.wav
1,Spectrogram 1,1,47.52749059,48.01159932,0,1100.6,P,HN,0.484108732,LBK,8/5/2018,2018-08-05T054500_0004e9e500057018_2.0.wav
3,Spectrogram 1,1,48.29700671,48.67995839,0,1183.3,P,HN,0.382951684,LBK,8/5/2018,2018-08-05T054500_0004e9e500057018_2.0.wav
4,Spectrogram 1,1,49.42293521,49.81672515,0,1009.3,P,HN,0.393789938,LBK,8/5/2018,2018-08-05T054500_0004e9e500057018_2.0.wav
5,Spectrogram 1,1,50.42005469,52.16501377,0,1183.3,C,HN,1.744959085,LBK,8/5/2018,2018-08-05T054500_0004e9e500057018_2.0.wav
7,Spectrogram 1,1,53.8359978,54.255077,0,835.3,P,HN,0.4190792,LBK,8/5/2018,2018-08-05T054500_0004e9e500057018_2.0.wav
8,Spectrogram 1,1,55.86997702,56.85625824,104.4,1113.7,P,HN,0.986281222,LBK,8/5/2018,2018-08-05T054500_0004e9e500057018_2.0.wav
9,Spectrogram 1,1,58.1358905,58.57303346,0,974.5,P,HN,0.43714296,LBK,8/5/2018,2018-08-05T054500_0004e9e500057018_2.0.wav
10,Spectrogram 1,1,59.39674086,59.92420261,0,1148.5,C,HN,0.527461752,LBK,8/5/2018,2018-08-05T054500_0004e9e500057018_2.0.wav
12,Spectrogram 1,1,60.30173516,60.72442712,0,904.9,P,HN,0.422691952,LBK,8/5/2018,2018-08-05T054500_0004e9e500057018_2.0.wav
13,Spectrogram 1,1,62.38999653,63.55691534,0,974.5,P,HN,1.166918808,LBK,8/5/2018,2018-08-05T054500_0004e9e500057018_2.0.wav
14,Spectrogram 1,1,64.64796636,65.31993819,0,835.3,P,HN,0.671971821,LBK,8/5/2018,2018-08-05T054500_0004e9e500057018_2.0.wav
15,Spectrogram 1,1,74.39370318,74.85974815,0,1252.9,P,HN,0.466044973,LBK,8/5/2018,2018-08-05T054500_0004e9e500057018_2.0.wav
16,Spectrogram 1,1,82.9693739,83.46432089,0,1113.7,P,HN,0.494946987,LBK,8/5/2018,2018-08-05T054500_0004e9e500057018_2.0.wav
17,Spectrogram 1,1,129.1926611,130.0127558,0,974.5,T,HN,0.820094643,LBK,8/5/2018,2018-08-05T054500_0004e9e500057018_2.0.wav
18,Spectrogram 1,1,169.2399248,169.760161,34.8,696.1,P,HN,0.520236249,LBK,8/5/2018,2018-08-05T054500_0004e9e500057018_2.0.wav
19,Spectrogram 1,1,175.4878088,176.3801585,0,974.5,T,HN,0.892349677,LBK,8/5/2018,2018-08-05T054500_0004e9e500057018_2.0.wav
20,Spectrogram 1,1,206.6643578,207.506129,0,870.1,T,HN,0.841771153,LBK,8/5/2018,2018-08-05T054500_0004e9e500057018_2.0.wav
21,Spectrogram 1,1,205.4179585,205.8370377,0,1078.9,P,HN,0.4190792,LBK,8/5/2018,2018-08-05T054500_0004e9e500057018_2.0.wav
22,Spectrogram 1,1,274.6800379,275.1244064,0,904.9,P,HN,0.444368462,LBK,8/5/2018,2018-08-05T054500_0004e9e500057018_2.0.wav
23,Spectrogram 1,1,283.2352067,283.6940262,0,870.1,P,HN,0.45881947,LBK,8/5/2018,2018-08-05T054500_0004e9e500057018_2.0.wav
24,Spectrogram 1,1,287.5607923,288.1388326,0,1044.1,P,HN,0.578040276,LBK,8/5/2018,2018-08-05T054500_0004e9e500057018_2.0.wav
1,Spectrogram 1,1,31.3901722,32.23240065,0,1053.6,,HN,0.842228451,LBK,8/5/2018,2018-08-05T060000_0004e9e500057018_2.0.wav
10,Spectrogram 1,1,265.3748178,266.6688855,0,1410.2,C,HN,1.294067749,LBK,8/5/2018,2018-08-05T060000_0004e9e500057018_2.0.wav
4,Spectrogram 1,1,142.0836686,142.2680191,0,1170.7,O,HN,0.184350434,LBK,8/5/2018,2018-08-05T060000_0004e9e500057018_2.0.wav
3,Spectrogram 1,1,93.88803927,94.70496472,0,1429.9,T,HN,0.81692545,LBK,8/5/2018,2018-08-05T060000_0004e9e500057018_2.0.wav
5,Spectrogram 1,1,232.7901779,233.7300036,0,944.5,T,HN,0.939825739,LBK,8/5/2018,2018-08-05T060000_0004e9e500057018_2.0.wav
6,Spectrogram 1,1,241.8984009,242.7225558,0,798.2,T,HN,0.824154879,LBK,8/5/2018,2018-08-05T060000_0004e9e500057018_2.0.wav
2,Spectrogram 1,1,76.8966691,76.9725781,0,1655.6,U,HN,0.075909002,LBK,8/5/2018,2018-08-05T060000_0004e9e500057018_2.0.wav
7,Spectrogram 1,1,257.3203592,257.7685838,0,1197.3,U,HN,0.448224583,LBK,8/5/2018,2018-08-05T060000_0004e9e500057018_2.0.wav
8,Spectrogram 1,1,258.715639,259.5795557,0,1197.3,U,HN,0.863916737,LBK,8/5/2018,2018-08-05T060000_0004e9e500057018_2.0.wav
9,Spectrogram 1,1,261.7106501,262.7155407,0,1197.3,U,HN,1.004890598,LBK,8/5/2018,2018-08-05T060000_0004e9e500057018_2.0.wav
11,Spectrogram 1,1,272.0763774,273.739146,0,1104.2,P,HN,1.662768615,LBK,8/5/2018,2018-08-05T060000_0004e9e500057018_2.0.wav
1,Spectrogram 1,1,48.15086103,48.49336356,0,1016.9,,HN,0.342502533,LBK,8/5/2018,2018-08-05T061500_0004e9e500057018_2.0.wav
2,Spectrogram 1,1,51.76161679,52.65621296,0,1990.6,P,HN,0.894596168,LBK,8/5/2018,2018-08-05T061500_0004e9e500057018_2.0.wav
3,Spectrogram 1,1,67.41563034,67.73768496,0,765.6,O,HN,0.32205462,LBK,8/5/2018,2018-08-05T061500_0004e9e500057018_2.0.wav
4,Spectrogram 1,1,129.214901,129.4598561,0,2220.3,U,HN,0.244955075,LBK,8/5/2018,2018-08-05T061500_0004e9e500057018_2.0.wav
1,Spectrogram 1,1,17.00804432,17.26372749,0,2886.5,U,HN,0.255683164,LBK,8/5/2018,2018-08-05T063000_0004e9e500057018_2.0.wav
1,Spectrogram 1,1,20.67610793,20.77455199,0,1432.4,T,HN,0.098444054,LBK,8/5/2018,2018-08-05T064500_0004e9e500057018_2.0.wav
2,Spectrogram 1,1,34.88734888,34.98579293,0,1106.8,T,HN,0.098444054,LBK,8/5/2018,2018-08-05T064500_0004e9e500057018_2.0.wav
3,Spectrogram 1,1,36.37976073,36.46245374,0,889.8,T,HN,0.082693005,LBK,8/5/2018,2018-08-05T064500_0004e9e500057018_2.0.wav
4,Spectrogram 1,1,78.23868586,78.35288097,0,629.4,T,HN,0.114195102,LBK,8/5/2018,2018-08-05T064500_0004e9e500057018_2.0.wav
1,Spectrogram 1,1,10.29433549,10.66806667,0,1102.5,T,HN,0.373731179,LBK,8/5/2018,2018-08-05T070000_0004e9e500057018_2.0.wav
2,Spectrogram 1,1,51.34069149,51.69456256,0,1865.8,T,HN,0.353871068,LBK,8/5/2018,2018-08-05T070000_0004e9e500057018_2.0.wav
3,Spectrogram 1,1,69.43030612,70.25540346,0,1441.7,T,HN,0.825097338,LBK,8/5/2018,2018-08-05T070000_0004e9e500057018_2.0.wav
4,Spectrogram 1,1,90.08043984,90.19779504,0,2968.3,T,HN,0.117355201,LBK,8/5/2018,2018-08-05T070000_0004e9e500057018_2.0.wav
5,Spectrogram 1,1,98.30172279,98.52921133,0,1356.9,T,HN,0.227488543,LBK,8/5/2018,2018-08-05T070000_0004e9e500057018_2.0.wav
6,Spectrogram 1,1,102.3774917,102.9371857,0,1017.7,T,HN,0.559694036,LBK,8/5/2018,2018-08-05T070000_0004e9e500057018_2.0.wav
7,Spectrogram 1,1,123.5385719,124.1668736,0,848.1,T,HN,0.628301692,LBK,8/5/2018,2018-08-05T070000_0004e9e500057018_2.0.wav
8,Spectrogram 1,1,153.024334,153.4359799,0,1109.4,T,HN,0.411645936,LBK,8/5/2018,2018-08-05T070000_0004e9e500057018_2.0.wav
9,Spectrogram 1,1,190.7482693,191.3296289,0,1349.3,T,HN,0.581359611,LBK,8/5/2018,2018-08-05T070000_0004e9e500057018_2.0.wav
10,Spectrogram 1,1,198.9292498,199.2939536,0,809.6,T,HN,0.364703856,LBK,8/5/2018,2018-08-05T070000_0004e9e500057018_2.0.wav
11,Spectrogram 1,1,211.1233991,211.3129729,0,1169.4,T,HN,0.189573787,LBK,8/5/2018,2018-08-05T070000_0004e9e500057018_2.0.wav
12,Spectrogram 1,1,215.7358605,216.2431961,0,929.5,T,HN,0.507335562,LBK,8/5/2018,2018-08-05T070000_0004e9e500057018_2.0.wav
13,Spectrogram 1,1,225.0108668,225.8287423,0,1019.5,T,HN,0.817875478,LBK,8/5/2018,2018-08-05T070000_0004e9e500057018_2.0.wav
14,Spectrogram 1,1,250.0460592,250.5317291,0,1169.4,T,HN,0.485669987,LBK,8/5/2018,2018-08-05T070000_0004e9e500057018_2.0.wav
